"id","user_id","org_id","position_id","user_type"
10749910,39549,3515,1473,ORD_USER
10779235,47176,7930,1203,ORD_USER
10779237,43760,7423,1171,ORD_USER
10779239,35573,7421,1039,ORD_USER
10749934,2371,3518,2003,ORG_MAN
10779241,41893,7423,1469,ORD_USER
10160789,31970,4899,1471,ORD_USER
10738190,179,7360,2016,ORG_MAN
10779243,40078,7423,1467,ORD_USER
10762310,45772,7394,1751,ORD_USER
10750040,36303,5696,1633,ORD_USER
10738192,406,4090,1734,ORG_MAN
10738442,37075,7351,1035,ORD_USER
10750042,29478,2433,1500,ORD_USER
10738444,37008,6399,1467,ORD_USER
10750061,41278,2457,1633,ORD_USER
10750063,41328,3517,1751,ORD_USER
10738446,37090,2893,1469,ORD_USER
10762312,42849,7395,1751,ORD_USER
10750081,47074,5696,1313,ORD_USER
10738454,32087,7448,1753,ORD_USER
10782524,46386,7586,1753,ORD_USER
10782526,46888,7587,1203,ORD_USER
10782530,46872,7587,1751,ORD_USER
10738456,982,7446,1758,ORG_MAN
10391223,46686,7291,1313,ORD_USER
10650085,47004,7881,1500,ORD_USER
10650087,47005,7585,1702,ORD_USER
38,58,7594,1001,ORD_USER
10738458,1256,2897,1200,ORD_USER
10738460,32785,7710,1471,ORD_USER
10403154,46698,7561,,ORD_USER
10738462,32461,7458,1469,ORD_USER
10750083,41427,2032,1751,ORD_USER
10738466,34038,7851,1203,ORD_USER
10761197,33159,7911,1467,ORD_USER
10408288,38434,7855,1500,ORD_USER
10761199,6876,6157,1467,ORD_USER
10761201,41027,7910,1751,ORD_USER
10761203,36000,7910,1751,ORD_USER
10761205,28085,7908,1500,ORD_USER
10653503,45587,7370,1203,ORD_USER
10761213,938,7909,1171,ORD_USER
10782991,35941,7439,1753,ORD_USER
10783023,45421,7350,2002,ORD_USER
10783024,45421,7350,2002,BUSINESS_MAN
10761255,31577,7905,1751,ORD_USER
10413379,499,4781,1465,ORD_USER
10761257,45670,6126,1746,ORD_USER
10761259,21183,7158,1547,ORD_USER
10250064,45095,7399,1767,ORD_USER
10761261,45662,6147,1467,ORD_USER
10761263,37965,6126,1751,ORD_USER
71,86,7014,1471,ORD_USER
10762314,46613,7395,1751,ORD_USER
10687929,31903,6937,1751,ORD_USER
10423541,46716,7649,2002,ORD_USER
10687931,42157,7264,1467,ORD_USER
10687933,42872,6938,1751,ORD_USER
10688015,39773,6663,1203,ORD_USER
10783502,47232,6324,1702,ORD_USER
10783504,47233,7704,1702,ORD_USER
10783506,47231,4198,1313,ORD_USER
10783639,46661,6324,1702,ORD_USER
10437226,46732,7694,1751,ORD_USER
10437238,46733,7587,1702,ORD_USER
25,47,3874,1537,BUSINESS_MAN
