customer_name,industry,opp_id,opp_opp_name,opp_opp_status
北京国投中债资产管理有限公司,金融,1,国投中债-BI-项目,签约成功
北京国投中债资产管理有限公司,金融,2,国投中债-CRM-项目,方案交流
北京国投中债资产管理有限公司,金融,3,国投中债-数据工厂-项目,线索获取
中国工商银行股份有限公司北京分行,金融,4,工行北京-BI-项目,签约成功
中国工商银行股份有限公司北京分行,金融,5,工行北京-数据工厂-项目,商务报价
中国工商银行股份有限公司北京分行,金融,6,工行北京-MASS-项目,签约失败
北京市海淀区人民政府,政府,7,海淀政府-CRM-项目,签约成功
北京市海淀区人民政府,政府,8,海淀政府-BI-项目,方案交流
北京市海淀区人民政府,政府,9,海淀政府-智能体-项目,线索获取
招商银行股份有限公司上海分行,金融,10,招行上海-BI-项目,签约成功
招商银行股份有限公司上海分行,金融,11,招行上海-数据工厂-项目,商务报价
招商银行股份有限公司上海分行,金融,12,招行上海-CRM-项目,签约失败
上海浦东发展银行股份有限公司,金融,13,浦发银行-BI-项目,签约成功
上海浦东发展银行股份有限公司,金融,14,浦发银行-MASS-项目,方案交流
上海浦东发展银行股份有限公司,金融,15,浦发银行-智能体-项目,线索获取
广州市天河区卫生健康局,政府,16,天河卫健-CRM-项目,签约成功
广州市天河区卫生健康局,政府,17,天河卫健-BI-项目,商务报价
广州市天河区卫生健康局,政府,18,天河卫健-数据工厂-项目,线索获取
广东省人民医院,医疗健康,19,粤省人民医院-BI-项目,签约成功
广东省人民医院,医疗健康,20,粤省人民医院-CRM-项目,方案交流
广东省人民医院,医疗健康,21,粤省人民医院-智能体-项目,签约失败
深圳市平安银行股份有限公司,金融,22,平安银行-BI-项目,签约成功
深圳市平安银行股份有限公司,金融,23,平安银行-数据工厂-项目,商务报价
深圳市平安银行股份有限公司,金融,24,平安银行-MASS-项目,线索获取
成都高新技术产业开发区管委会,政府,25,成都高新-CRM-项目,签约成功
成都高新技术产业开发区管委会,政府,26,成都高新-BI-项目,方案交流
成都高新技术产业开发区管委会,政府,27,成都高新-数据工厂-项目,线索获取
四川省教育厅,政府,28,川省教育厅-BI-项目,签约成功
四川省教育厅,政府,29,川省教育厅-智能体-项目,商务报价
四川省教育厅,政府,30,川省教育厅-CRM-项目,签约失败
武汉市商业银行股份有限公司,金融,31,武汉商行-BI-项目,签约成功
武汉市商业银行股份有限公司,金融,32,武汉商行-数据工厂-项目,方案交流
武汉市商业银行股份有限公司,金融,33,武汉商行-MASS-项目,线索获取
湖北省卫生健康委员会,政府,34,鄂省卫健-CRM-项目,签约成功
湖北省卫生健康委员会,政府,35,鄂省卫健-BI-项目,商务报价
