customer_code,customer_name,industry,sales_person,dept_name,opp_opp_code,opp_opp_name,opp_opp_status,project_project_code,project_project_name,project_project_status
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,韦小宝,华北-金融组,OPP00000001,国投中债-BI-项目,签约成功,PROJ00000001,国投中债-BI-实施项目,完成回款
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,韦小宝,华北-金融组,OPP00000002,国投中债-CRM-项目,方案交流,PROJ00000001,国投中债-BI-实施项目,完成回款
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,韦小宝,华北-金融组,OPP00000003,国投中债-数据工厂-项目,线索获取,PROJ00000001,国投中债-BI-实施项目,完成回款
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000004,工行北京-BI-项目,签约成功,PROJ00000102,工行北京-数据工厂-实施项目,项目启动
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000004,工行北京-BI-项目,签约成功,PROJ00000101,工行北京-BI-续签项目,安装部署
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000004,工行北京-BI-项目,签约成功,PROJ00000003,工行北京-CRM-实施项目,收入确认
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000004,工行北京-BI-项目,签约成功,PROJ00000002,工行北京-BI-实施项目,完成回款
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000005,工行北京-数据工厂-项目,商务报价,PROJ00000102,工行北京-数据工厂-实施项目,项目启动
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000005,工行北京-数据工厂-项目,商务报价,PROJ00000101,工行北京-BI-续签项目,安装部署
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000005,工行北京-数据工厂-项目,商务报价,PROJ00000003,工行北京-CRM-实施项目,收入确认
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000005,工行北京-数据工厂-项目,商务报价,PROJ00000002,工行北京-BI-实施项目,完成回款
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000006,工行北京-MASS-项目,签约失败,PROJ00000102,工行北京-数据工厂-实施项目,项目启动
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000006,工行北京-MASS-项目,签约失败,PROJ00000101,工行北京-BI-续签项目,安装部署
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000006,工行北京-MASS-项目,签约失败,PROJ00000003,工行北京-CRM-实施项目,收入确认
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,韦小宝,华北-金融组,OPP00000006,工行北京-MASS-项目,签约失败,PROJ00000002,工行北京-BI-实施项目,完成回款
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000007,海淀政府-CRM-项目,签约成功,PROJ00000141,北京海淀-BI-实施项目,安装部署
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000007,海淀政府-CRM-项目,签约成功,PROJ00000004,海淀政府-CRM-实施项目,完成回款
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000008,海淀政府-BI-项目,方案交流,PROJ00000141,北京海淀-BI-实施项目,安装部署
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000008,海淀政府-BI-项目,方案交流,PROJ00000004,海淀政府-CRM-实施项目,完成回款
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000009,海淀政府-智能体-项目,线索获取,PROJ00000141,北京海淀-BI-实施项目,安装部署
北京市海淀区人民政府,北京市海淀区人民政府,政府,狄云,华东-政府组,OPP00000009,海淀政府-智能体-项目,线索获取,PROJ00000004,海淀政府-CRM-实施项目,完成回款
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000010,招行上海-BI-项目,签约成功,PROJ00000103,招商银行沪-MASS-实施项目,项目交付
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000010,招行上海-BI-项目,签约成功,PROJ00000006,招行上海-MASS-实施项目,收入确认
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000010,招行上海-BI-项目,签约成功,PROJ00000005,招行上海-BI-实施项目,完成回款
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000011,招行上海-数据工厂-项目,商务报价,PROJ00000103,招商银行沪-MASS-实施项目,项目交付
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000011,招行上海-数据工厂-项目,商务报价,PROJ00000006,招行上海-MASS-实施项目,收入确认
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000011,招行上海-数据工厂-项目,商务报价,PROJ00000005,招行上海-BI-实施项目,完成回款
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000012,招行上海-CRM-项目,签约失败,PROJ00000103,招商银行沪-MASS-实施项目,项目交付
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000012,招行上海-CRM-项目,签约失败,PROJ00000006,招行上海-MASS-实施项目,收入确认
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,胡斐,华东-金融组,OPP00000012,招行上海-CRM-项目,签约失败,PROJ00000005,招行上海-BI-实施项目,完成回款
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000013,浦发银行-BI-项目,签约成功,PROJ00000008,浦发银行-数据工厂-实施项目,项目上线
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000013,浦发银行-BI-项目,签约成功,PROJ00000007,浦发银行-BI-实施项目,完成回款
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000014,浦发银行-MASS-项目,方案交流,PROJ00000008,浦发银行-数据工厂-实施项目,项目上线
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000014,浦发银行-MASS-项目,方案交流,PROJ00000007,浦发银行-BI-实施项目,完成回款
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000015,浦发银行-智能体-项目,线索获取,PROJ00000008,浦发银行-数据工厂-实施项目,项目上线
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,胡斐,华东-金融组,OPP00000015,浦发银行-智能体-项目,线索获取,PROJ00000007,浦发银行-BI-实施项目,完成回款
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000016,天河卫健-CRM-项目,签约成功,PROJ00000140,广州卫健-MASS-实施项目,项目交付
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000016,天河卫健-CRM-项目,签约成功,PROJ00000009,天河卫健-CRM-实施项目,完成回款
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000017,天河卫健-BI-项目,商务报价,PROJ00000140,广州卫健-MASS-实施项目,项目交付
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000017,天河卫健-BI-项目,商务报价,PROJ00000009,天河卫健-CRM-实施项目,完成回款
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000018,天河卫健-数据工厂-项目,线索获取,PROJ00000140,广州卫健-MASS-实施项目,项目交付
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,陈家洛,华南-金融组,OPP00000018,天河卫健-数据工厂-项目,线索获取,PROJ00000009,天河卫健-CRM-实施项目,完成回款
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000019,粤省人民医院-BI-项目,签约成功,PROJ00000142,广东人民医院-CRM-实施项目,项目启动
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000019,粤省人民医院-BI-项目,签约成功,PROJ00000010,粤省人民医院-BI-实施项目,收入确认
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000020,粤省人民医院-CRM-项目,方案交流,PROJ00000142,广东人民医院-CRM-实施项目,项目启动
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000020,粤省人民医院-CRM-项目,方案交流,PROJ00000010,粤省人民医院-BI-实施项目,收入确认
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000021,粤省人民医院-智能体-项目,签约失败,PROJ00000142,广东人民医院-CRM-实施项目,项目启动
广东省人民医院,广东省人民医院,医疗健康,陈家洛,华南-金融组,OPP00000021,粤省人民医院-智能体-项目,签约失败,PROJ00000010,粤省人民医院-BI-实施项目,收入确认
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000022,平安银行-BI-项目,签约成功,PROJ00000104,平安银行-MASS-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000022,平安银行-BI-项目,签约成功,PROJ00000012,平安银行-CRM-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000022,平安银行-BI-项目,签约成功,PROJ00000011,平安银行-BI-实施项目,完成回款
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000023,平安银行-数据工厂-项目,商务报价,PROJ00000104,平安银行-MASS-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000023,平安银行-数据工厂-项目,商务报价,PROJ00000012,平安银行-CRM-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000023,平安银行-数据工厂-项目,商务报价,PROJ00000011,平安银行-BI-实施项目,完成回款
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000024,平安银行-MASS-项目,线索获取,PROJ00000104,平安银行-MASS-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000024,平安银行-MASS-项目,线索获取,PROJ00000012,平安银行-CRM-实施项目,项目上线
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,陈家洛,华南-金融组,OPP00000024,平安银行-MASS-项目,线索获取,PROJ00000011,平安银行-BI-实施项目,完成回款
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,杨过,华西-政府组,OPP00000025,成都高新-CRM-项目,签约成功,PROJ00000013,成都高新-CRM-实施项目,收入确认
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,杨过,华西-政府组,OPP00000026,成都高新-BI-项目,方案交流,PROJ00000013,成都高新-CRM-实施项目,收入确认
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,杨过,华西-政府组,OPP00000027,成都高新-数据工厂-项目,线索获取,PROJ00000013,成都高新-CRM-实施项目,收入确认
四川省教育厅,四川省教育厅,政府,杨过,华西-政府组,OPP00000028,川省教育厅-BI-项目,签约成功,PROJ00000014,川省教育厅-BI-实施项目,项目上线
四川省教育厅,四川省教育厅,政府,杨过,华西-政府组,OPP00000029,川省教育厅-智能体-项目,商务报价,PROJ00000014,川省教育厅-BI-实施项目,项目上线
四川省教育厅,四川省教育厅,政府,杨过,华西-政府组,OPP00000030,川省教育厅-CRM-项目,签约失败,PROJ00000014,川省教育厅-BI-实施项目,项目上线
